count,example_snippets,name,top_terms,topic_id
126,"Total unhöfliche Schwestern. || Schwestern wirken stark genervt und teils extremst unfreundlich viele haben sich wohl den falschen Beruf ausgesucht, wenn sie auf die Bedürfnisse der Patienten eingehen sollen man meint ja eigentlich das Patientenwohl sollte an erster Stelle stehen.  || Nette schwestern und aerzte ... Aber geholfen hat es alles nichts :P",19_patienten nur_krankenhäuser aber_dr claaßen_unfreundlich unhöflich,"patienten nur, krankenhäuser aber, dr claaßen, unfreundlich unhöflich, eine schande, unfreundliche schwestern, schwester unfreundlich, unfreundliche schwester, traurig aber, vergesse",19
121,"Hallo, leider ist es nicht möglich mit 0 Sternen zu bewerten. Vorweg möchte ich betonen das es hier um meine eigene Erfahrung mit dem KH geht, nicht um ein Allgemein Bericht. … || Jeder der in der Notaufnahme oder im Ambulanten Zentrum war, weiß ganz warum 1 Stern sogar noch zu viel des guten ist. Mehr brauche ich hier auch nicht sagen. || Noch nicht mal 1 Stern teilweise unfreundlich total überfordert da wird man nur hin und her geschickt keiner hat da ein Plan",20_jemand arzt_mal stern_leider muss_geben leider,"jemand arzt, mal stern, leider muss, geben leider, leider kann, klappt schade, ja leider, stern verdient, kein stern, würde keinen",20
115,"Es ist für mich immer noch nicht nachvollziehbar, warum das Klinikum hier gebaut wurde. Weit entfernt von unseren größeren Städten, so müssen viele Menschen weite Wege in Kauf nehmen. Das Klinikum ist voll auf Individualverkehr ausgelegt, das zeigt s || Parkplatzsituation mangelhaft! Keinerlei Anzeige ob Besetzt oder nicht, es wird überall geparkt, ein durchkommen ist kaum möglich, winterdienst mangelhaft. || Leider lässt der Besuch im Krankenhaus einen bitteren Nachgeschmack. Teure Parkgebühren für Patienten finde ich Asozial.",21_für patienten_am krankenhaus_krankenhaus zusätzlich_das klinikum,"für patienten, am krankenhaus, krankenhaus zusätzlich, das klinikum, behinderten unfreundlich, abschleppen lassen, abgeschleppt, und abschleppen, dem gelände, stunde kostet",21
108,Meine Erfahrung bzw Meinung: Niemals freiwillig! … || AKH: wenn fachliche Inkompetenz auf nicht wertschätzende zwischenmenschliche Umgangsformen trifft. Böse Kombi. || Das AKH kann man in 3 Stichpunkten zusammen fassen: -fehlendes Fachwissen -Unfreundlichkeit -Desinteresse,22_notaufnahme ernst_dr bitte_professionelle unaufmerksam_sehr unprofessionell,"notaufnahme ernst, dr bitte, professionelle unaufmerksam, sehr unprofessionell, genommen unfreundliches, inakzeptables, und unprofessionell, unfreundlich sehr, muhle schändliches, geruch unfreundlich",22
104,"Mit Abstand das unfreundlichste Personal was ich in medizinischen Einrichtungen treffen durfte. Sicher ist die Arbeit in dem Bereich fordernd und manchmal auch nicht ganz einfach, dennoch muss man sich gegenüber den Patienten mal zusammenreißen. Es k || Das AKH bzw. die Qualität der dort eingesetzten Ärzte ist unterirdisch. Das Pflegepersonal ist sehr gut. || Das Personal ist das Problem behandelt die Patienten nicht gut 😕 das macht Angst wenn man da hin muss 😱 Der Job ist Mega anstrengend wenn man ihn nicht gern macht oder Menschen dafür …",23_patienten wie_der patienten_patienten sind_unfreundliche krankenschwester,"patienten wie, der patienten, patienten sind, unfreundliche krankenschwester, viele ärzte, sehr unfreundliche, patienten interessiert, pfleger sind, die pfleger, das pflegepersonal",23
79,"Bewertung 0.00 Gestern Vormittag die Mitarbeiterin in der Anmeldung Kabine 3.Ich erlebte in fast 64 Jahren nie so etwas an Unfreundlichkeit.Widerlich🤮Die Dame hat den falschen Job.Austauschen!!! … || Ich war auf Station A13 und ich war erst sehr zufrieden , aber dann habe ich mich mit einem Mann in meiner Abteilung angefreundet , und wurde auf rund , das andere Mitmenschen in unserer Abteilung gesagt haben das ich und der Mann eine liebelei haben || War in der Notaufnahme, man musste lange warten bis sich mal was gerührt hat. Die Dame am Empfang von der Notaufnahme einfach nur unfreundlich, hat patzig geantwortet und war hochnäsig",24_nur unhöflich_sehr unhöflich_sehr unfreundliche_falschen job,"nur unhöflich, sehr unhöflich, sehr unfreundliche, falschen job, kranke menschen, unfreundlichkeit, und unangenehm, unangenehm sind, unfreundliche und, extrem unfreundlich",24
76,"Meine Mutter wurde einer Knieoperation unterzogen. Leider ist das Personal im vierten Stock sehr gleichgültig und macht sich über Patienten und deren Familien lustig. Meine Mutter wartete zwei Tage auf eine Röntgenaufnahme. Obwohl sie wiederholt vers || Mein Kind 12 Jahre alt. Würde mit Blinddarm eingeliefert . Weil Höxter voll war leider. Wir haben seid ihrer OP mit keinem Arzt gesprochen. Hätte ich nicht zufällig mit meiner Tochter telefoniert wüsste ich nicht Mal was von einer OP. Haben nur mit d || Meine Tochter ist gefallen in der Schule dies wollte ich abklären lassen. Also Freitag hin, nach kurzer Wartezeit wurde sie aufgerufen und geröntgt. Der Arzt super freundlich und hilfsbereit. Hat ihr einen Gips verpasst, sollten ein …",25_die pflegerin_auricher krankenhaus_pflegerin_wieder schlimmer,"die pflegerin, auricher krankenhaus, pflegerin, wieder schlimmer, tochter hatte, chirurg, sprachlos, tochter wurde, entfernt in, entzündung",25
69,"Wir waren heute Abend in der Notaufnahme. Trotz starker Beschwerden muss man dort extrem lange warten - 5 bis 6 Stunden sind keine Seltenheit. Auch als Begleitperson wird man hingehalten. … || Wenn man mit einem 6,6er hb inkl Notfall Einweisung von 11uhr bis 17uhr warten muß,um von der Notaufnahme auf Station zu kommen,dann ist das nicht nur definitiv zu lang sondern auch nicht ganz ungefährlich!! … || Wartezeit in der Notaufnahme unterirdisch, obwohl kaum etwas los ist",26_patienten wartezeiten_überhaupt notaufnahme_sind wartezeit_notaufnahme dauert,"patienten wartezeiten, überhaupt notaufnahme, sind wartezeit, notaufnahme dauert, std wartezeit, schlimmes warten, wartezeit in, wartezeit trotz, bei notaufnahme, notaufnahme nach",26
67,Nicht so gut || Da fällt mir wirklich nichts positives ein... || Schlimmer geht’s nicht,27_schrecklich sehr_schlimm sehr_dispo schrecklich_dreckig siehe,"schrecklich sehr, schlimm sehr, dispo schrecklich, dreckig siehe, dreckig einfach, schlimm ohje, schlimm einfach, schlecht ganz, schlimm dreckig, nur dreck",27
66,Das ist das schlimmste Krankenhaus was ich je gesehen habe die helfen nicht mal einer Schwangeren nur weil die kein Bock haben jemanden zu helfen die ein Kopftuch trägt schlimmste Ärzte nehmen dich auf nächsten Tag müssen die dich entlassen weil die  || Das schlechteste Krankenhaus was ich kenne || Das schlechteste Krankenhaus das ich kenne. Vorallem das Personal ist total nutzlos und unfreundlich. Kann jedem dem etwas an seiner Gesundheit liegt raten dort nicht hinzugehen. Danke übrigens für meine immernoch nicht erhaltene Ärztekarte. Nicht nu,28_krankenhaus überhaupt_krankenhaus empfehlen_krankenhaus das_krankenhäuser die,"krankenhaus überhaupt, krankenhaus empfehlen, krankenhaus das, krankenhäuser die, schlechteste klinik, schlechteste krankenhaus, krankenhaus welches, krankenhaus der, krankenhäuser, krankenhaus aller",28
