count,example_snippets,name,top_terms,topic_id
140,"Mein Mann kam aus der Reha Klinik auf die Intensivstation, Ärzte, Schwestern und Behandlung Top, nichts einzuwenden!! Dafür eigentlich 5 Sterne. Nach der Intensivstation in ein ""Komfortzimmer"" und das ist echt ein Witz!! 2- Bett Zimmer ok. Fernseher  || Wenn ich 0 Sterne geben könnte, dann würde ich es machen. Dieses Krankenhaus ist, was die Mitarbeitenden angeht eine komplette Vollkatastrophe. Meine Freundin bekommt keine Infos, wird nachts mit ihrer Gehirnerschütterung einfach schlafen gelassen, s || Jeder der in der Notaufnahme oder im Ambulanten Zentrum war, weiß ganz warum 1 Stern sogar noch zu viel des guten ist. Mehr brauche ich hier auch nicht sagen.",29_stern_sterne_geben_null,"stern, sterne, geben, null, würde, vergeben, nicht, krankenhaus, liebsten, man, ist, könnte",29
140,"OP lief gut aber das personal ist sehr unfreundlich || Sehr unfreundliches und arrogantes Personal in fast ALLEN Abteilungen. Man wird behandelt wie ein Mensch dritter Klasse. Ich habe mich total schlecht gefühlt. Es wird überhaupt nicht auf Ängste und Fragen eingegangen. Für mich klar: NIE WIEDER!!!!!!! || Die Mitarbeiter der Station A1 sind sehr unhöflich und launisch,",30_unfreundliches_personal_unfreundlich_mitarbeiter,"unfreundliches, personal, unfreundlich, mitarbeiter, unfreundliche, schlechte, information, sehr, menschen, absolut, lust, nicht",30
137,"Ich wurde von meinem Hausarzt auf einem Montag, nach schon langer Schmerzzeit hergeschickt. Bandscheibenvorfall LWS mit Nerven im linken Bein. Ich musste in der Aufnahme ca. eine Stunde warten. Gute Aufklärung, Abklärung und Beratung wie … || Ich würde am 10.5. mit dem Krankenwagen aus Höxter in die Klinik gebracht, wegen starker Nervenschmerzen und Schwindel. Ich würde nur kurz befragt und dann wurde gesagt, das ich wohl im falschen Krankenhaus gelandet bin. Ich sollte dann um 1 Uhr Nach || Schlimmer geht's nicht. Mit ausgerenkten Rippen ins Krankenhaus gefahren und mir wurde im Krankenhaus gesagt man kann mir nur Schmerzmittel geben, es seien nur Rückenschmerzen, mir wurde ohne zu fragen ob ich ein Problem mit Rauschmittel in der Verga",31_schmerzen_ich_schmerzmittel_wurde,"schmerzen, ich, schmerzmittel, wurde, nach, mir, mit, dann, notaufnahme, starken, nicht, habe",31
134,"Kantinen Essen ist schlecht und teuer! Pommes sehr dunkel, altes Öl, belegte Brötchen sehr schwache Qualität. Kaffee aus den guten Automaten!... Schmeckt aber nucht?! Lieber ausserhalb essen, sehr schade, sonst macht die Klinik einen richtig guten Ei || Kompetenz und Personal gut bis sehr gut. Abwertung ausschließlich durch den abgrundtief schlechten Caterer. Keins der warmen Essen war auch nur Schulnote 4. Widerlich gewürzte Kartoffelsuppe oder unglaublich zähes Rindergulasch... Ungenießbar trifft  || Die Versorgung meines Mannes war gut durch Ärzte und Schwestern!!Das Essen ist katastrophal, wenn man überhaupt was bekommt!!",32_essen_ist_das_nicht,"essen, ist, das, nicht, man, aber, die, so, brötchen, frühstück, käse, oder",32
129,Ich war nur eine Nacht hier aber rundum zufrieden!!😊 … || Ich bin super zufrieden vielen Dank 😊 … || Bin sehr zufrieden.,33_zufrieden_geholfen_bin_mir,"zufrieden, geholfen, bin, mir, gut, aufgehoben, sehr, habe, alles, mich, super, ich",33
125,Unhöflich am Telefon wie sonst was! || Die telefonische Kontaktaufnahmen ist so gut wie unmöglich. Ich habe 3Tage gebraucht um jemand ans Telefon zu bekommen. Lediglich bei Einschaltung des AB zum Ende der Erreichbarkeit war man außerordentlich pünktlich. Nachdem ich endlich jemand erreic || Unfreundlich ihm telefon und im echten leben auch ich würde nicht mal ein stern geben,34_telefon_telefonisch_termin_ans,"telefon, telefonisch, termin, ans, seit, niemand, telefonische, erreichbar, versuche, nicht, erreichbarkeit, geht",34
121,"Es waren alle sehr freundlich. Die Wartezeiten waren OK. Das Essen war gut! || Alle super nett und lieb , wurde schnell operiert und das essen ist auch gut grus an station o22 || Sehr freundliches Personal, gute Behandlung. Punktabzug fürs Mittagessen. 🙄 Zimmer aber ok. …",35_essen_personal_zimmer_freundliches,"essen, personal, zimmer, freundliches, super, nettes, sehr, schöne, schmeckt, service, top, gut",35
118,Top Betreuung auf der Gyn/ Geb! Alle bestens umsorgt und engagiert! Absolute Empfehlung || Sehr gute Betreuung in der Viszeralchirugie und Anästhesie. Schnelle Terminvergabe und sehr gute Informationsweitergabe. || Sehr schnelle und freundliche Behandlung. Ruhige Atmosphäre.,36_behandlung_gute_betreuung_schnelle,"behandlung, gute, betreuung, schnelle, sehr, freundliche, pflege, versorgung, kompetente, empfehlenswert, physiotherapieteam, und",36
102,"Ich war vor 7 Monaten in der Notaufnahme und wurde dort sehr gut aufgenommen. Ich hatte mir 2 Finger geklemmt. Dieses wurde von Dr. Rahmati behandelt. Er hat meine Finger wieder so zusammengenäht, inclusive Nagelbett wieder herstellen, dass … || Ich bin jetzt zum 2 mal hier und habe einen Schmerz Katheter bekommen, den erfolg fand ich richtig super. Meine Hand kann ich richtig super bewegen ,meine Finger fast zum beugen bekommen. Das hätte ich nicht gedacht wegen einen Handgelenk was ich mir || Meine letzte Erfahrung war nicht schön. Ich hatte einen Arm in Gips,welcher natürlich an einem Wochenende anfing schmerzlich zu drücken. Meine Finger wurden kalt und verfärbten sich. Durch Recherche im Internet war mir klar,das der Gips runter musste",37_finger_ich_wurde_arm,"finger, ich, wurde, arm, mir, schmerzen, hand, gebrochen, nach, fuß, im, der",37
101,🙏🙏🙏❤️ … || Sehr unfreundlich Mitarbeiterinnen 👎🏻 … || Das eine ❤,38_sabıne_sterne_korn_susi,"sabıne, sterne, korn, susi, dddddddddddddddddddddddd, wiechern, sina, station, fur, supper, fünf, ärzte",38
